BILLING_ADDRESS,BILLING_ADDRESS_CITY_STATE_ZIP,AGENT_ENTITY,AGENT_FIRST_NAME,AGENT_LAST_NAME,AGENT_MIDDLE_NAME,AGENT_PHONE,SITE_ADDRESS,BBL_CITY_STATE_ZIP,BILLING_NAME,CUSTOMER_NUMBER,DC_ADDR_FLAG,LICENSECATEGORY,ENTITY_NAME,FIRST_NAME,LAST_NAME,DCS_ADD_DATE,LICENSE_END_DATE,LICENSE_ISSUE_DATE,LICENSE_START_DATE,LICENSE_CATEGORY_TEXT,LICENSE_CATEGORY_CODE,LICENSESTATUS,PHONE_NUMBER,CITY,STATE,ZIP,BBL_LICENSE_FACT_ID,LATITUDE,LONGITUDE,XCOORD,YCOORD,ZIPCODE,MARADDRESSREPOSITORYID,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,BUSINESSIMPROVEMENTDISTRICT,MAINSTREET,DCS_LAST_MOD_DTTM,GLOBALID,OBJECTID
,1846 13th STREET N.W WASHINGTON DC 20009 ,PROFESSIONAL CORPORATION SERVICE INC.,,,,,1846 13TH ST NW ,WASHINGTON DC 20009,BET CORPORATION,930818000003,Y,Grocery Store,BET CORPORATION,,,,2027/10/31 04:00:00+00,2025/10/08 04:00:00+00,2025/11/01 04:00:00+00,Public Health Food Establish,9308,Active,2023902254,WASHINGTON,DC,20009,551037252,38.91542239,-77.02987566,397409.03,138617.7,,240475,1,ANC 1B,1B08,THIRD,305,Cluster 3,,,2026/04/03 08:30:26+00,{4E8BF189-90F8-6B09-E063-782F520A8A93},393294569
,1901 NEW HAMPSHIRE A WASHINGTON DC 20009 ,,,,,00,1901 NEW HAMPSHIRE AVE NW ,WASHINGTON DC 20009,FREEDOM MARKET INC,53004377,Y,Grocery Store,FREEDOM MARKET INC,,,,2026/08/31 04:00:00+00,2024/08/26 04:00:00+00,2024/09/01 04:00:00+00,Public Health Food Establish,9308,Active,2024835526,WASHINGTON,DC,20009,550967599,38.91573681,-77.03737746,396758.45,138652.88,,241927,2,ANC 2B,2B09,THIRD,301,Cluster 6,,,2026/04/03 08:30:19+00,{4E8BF186-168A-6B09-E063-782F520A8A93},393066619
,1816 19TH STREET N.W WASHINGTON DC 20009 ,,DANIEL,VOGEL,,2026867600,1924 8TH ST NW ,WASHINGTON DC 20001,GLEN'S SHAW L.L.C.,930816000007,Y,Grocery Store,GLEN'S SHAW L.L.C.,,,,2027/10/31 04:00:00+00,2015/11/24 05:00:00+00,2015/11/01 04:00:00+00,Public Health Food Establish,9308,Active,2035704063,WASHINGTON,DC,20001,551009973,38.91653968,-77.02321325,397986.86,138741.56,,310465,1,ANC 1B,1B02,THIRD,305,Cluster 3,,,2026/04/03 08:30:23+00,{4E8BF186-A696-6B09-E063-782F520A8A93},393103495
,"1942 1st Street, N.W Washington DC 20001 ",Fisseha Mekonnen,,,,,1942 1ST ST NW ,WASHINGTON DC 20001,"U FIRST MART,",930825000011,Y,Grocery Store,"U FIRST MART,",,,,2026/11/30 05:00:00+00,2024/12/19 05:00:00+00,2024/12/01 05:00:00+00,Public Health Food Establish,9308,Active,,WASHINGTON,DC,20001,551003287,38.91685797,-77.01241545,398923.29,138776.71,,227484,5,ANC 5E,5E04,THIRD,306,Cluster 21,,,2026/04/03 08:30:23+00,{4E8BF186-905E-6B09-E063-782F520A8A93},393097807
Floor 1,2000 17th ST NW Washington DC 20009 ,"REGISTERED AGENT SOLUTIONS, INC.",,,,,2000 17TH ST NW ,WASHINGTON DC 20009,NiQu LLC,930826000011,Y,Grocery Store,NiQu LLC,,,,2030/02/28 05:00:00+00,2026/02/13 05:00:00+00,2026/02/13 05:00:00+00,Public Health Food Establish,9308,Active,,WASHINGTON,DC,20009,550959036,38.91715003,-77.03878129,396636.77,138809.81,,218579,1,ANC 1B,1B07,THIRD,301,Cluster 6,,,2026/04/03 08:30:19+00,{4E8BF189-54E4-6B09-E063-782F520A8A93},393279189
UNIT B,2001 13TH ST NW WASHINGTON DC 20009 ,BELAIN KIFLEMARIAM,,,,,2001 13TH ST NW ,WASHINGTON DC 20009,RAMI RAW,930823000022,Y,Grocery Store,RAMI RAW,,,,2027/12/31 05:00:00+00,2025/12/30 05:00:00+00,2025/12/30 05:00:00+00,Public Health Food Establish,9308,Active,,WASHINGTON,DC,20009,551003283,38.91713926,-77.02930006,397459.01,138808.27,,240789,1,ANC 1B,1B08,THIRD,305,Cluster 3,,,2026/04/03 08:30:23+00,{4E8BF186-905A-6B09-E063-782F520A8A93},393097803
,2001 Benning Rd NE Washington DC 20002 ,NEGASSIE LEMLEM,,,,,2001 BENNING RD NE ,WASHINGTON DC 20002,Ng Tg,930822000005,Y,Grocery Store,Ng Tg,,,,2027/09/30 04:00:00+00,2025/08/27 04:00:00+00,2025/10/01 04:00:00+00,Public Health Food Establish,9308,Active,,WASHINGTON,DC,20002,551037258,38.89845561,-76.97538611,402135.15,136734.15,,150231,7,ANC 7D,7D05,FIFTH,507,Cluster 25,,,2026/04/03 08:30:26+00,{4E8BF187-024A-6B09-E063-782F520A8A93},393126971
,500 Irving St NW WASHINGTON DC 20010 ,Pablo,,,,,2006 RHODE ISLAND AVE NE ,WASHINGTON DC 20018,Aurora Enterprises,930823000028,Y,Grocery Store,Aurora Enterprises,,,,2027/06/30 04:00:00+00,2025/06/25 04:00:00+00,2025/07/01 04:00:00+00,Public Health Food Establish,9308,Active,,WASHINGTON,DC,20018,550959029,38.92951329,-76.97580073,402098.27,140181.8,,53027,5,ANC 5B,5B06,FIFTH,503,Cluster 22,,,2026/04/03 08:30:19+00,{4E8BF185-F869-6B09-E063-782F520A8A93},393058906
,2031 BENNING ROAD N. WASHINGTON DC 20002 ,,TADELE,BAYETA,,2027028719,2031 BENNING RD NE ,WASHINGTON DC 20002,EXPRESS CONVENIENCE STORE LLC.,930819000010,Y,Grocery Store,EXPRESS CONVENIENCE STORE LLC.,,,,2027/01/31 05:00:00+00,2025/01/13 05:00:00+00,2025/02/01 05:00:00+00,Public Health Food Establish,9308,Active,2027028719,WASHINGTON,DC,20002,550999383,38.89831539,-76.97443718,402217.47,136718.57,,52280,7,ANC 7D,7D05,FIFTH,507,Cluster 25,,,2026/04/03 08:30:22+00,{4E8BF186-833C-6B09-E063-782F520A8A93},393094445
,2101 ALABAMA AVENUE  WASHINGTON DC 20020 ,Adanech Gebremeskel,,,,,2101 ALABAMA AVE SE ,WASHINGTON DC 20020,Bair Investment,930825000002,Y,Grocery Store,Bair Investment,,,,2026/09/30 04:00:00+00,2024/10/21 04:00:00+00,2024/10/01 04:00:00+00,Public Health Food Establish,9308,Active,,WASHINGTON,DC,20020,551003286,38.85046159,-76.97506281,402164.65,131406.46,,51905,8,ANC 8C,8C05,SEVENTH,704,Cluster 38,,,2026/04/03 08:30:23+00,{4E8BF186-905D-6B09-E063-782F520A8A93},393097806
,"213 Upshur Street, N Washington DC 20011 ","ACE CORPORATE SERVICES, INC.",,,,,213 UPSHUR ST NW ,WASHINGTON DC 20011,Splash Enterprises,930820000016,Y,Grocery Store,Splash Enterprises,,,,2026/08/31 04:00:00+00,2024/07/10 04:00:00+00,2024/09/01 04:00:00+00,Public Health Food Establish,9101,Active,,WASHINGTON,DC,20011,550955819,38.9424544346,-77.014338077,398757,141618.2,,244388,4,ANC 4C,4C06,FOURTH,407,Cluster 18,,,2026/04/03 08:30:19+00,{4E8BF185-EDFB-6B09-E063-782F520A8A93},393056236
,2144 California stre Washington DC 20008 ,Daniel Petitta,,,,,2160 CALIFORNIA ST NW ,WASHINGTON DC 20008,Kalorama Market,930825000019,Y,Grocery Store,Kalorama Market,,,,2027/01/31 05:00:00+00,2025/03/07 05:00:00+00,2025/02/01 05:00:00+00,Public Health Food Establish,9101,Active,,WASHINGTON,DC,20008,551005027,38.91597378,-77.04866864,395779.24,138679.61,,218645,2,ANC 2D,2D02,SECOND,208,Cluster 1,,,2026/04/03 08:30:23+00,{4E8BF186-9629-6B09-E063-782F520A8A93},393099290
,2200 16th STREET S.E WASHINGTON DC 20020 ,PROFESSIONAL CORPORATION SERVICE INC.,,,,2025488000,2200 16TH ST SE ,WASHINGTON DC 20020,DC MARKET INCORPORATED,930817000035,Y,Grocery Store,DC MARKET INCORPORATED,,,,2027/06/30 04:00:00+00,2025/05/09 04:00:00+00,2025/07/01 04:00:00+00,Public Health Food Establish,4003,Active,2026693774,WASHINGTON,DC,20020,551033143,38.86345927,-76.98244902,401523.22,132849.11,,50746,8,ANC 8A,8A04,SEVENTH,701,Cluster 28,,,2026/04/03 08:30:26+00,{4E8BF186-F43E-6B09-E063-782F520A8A93},393123375
,2200 Flagler Pl NW Washington DC 20001 ,Daren Dean,,,,,2200 FLAGLER PL NW ,WASHINGTON DC 20001,DK Dean,930824000002,Y,Grocery Store,DK Dean,,,,2027/11/30 05:00:00+00,2023/12/04 05:00:00+00,2023/12/01 05:00:00+00,Public Health Food Establish,9101,Active,,WASHINGTON,DC,20001,551010446,38.91930303,-77.01378914,398804.2,139048.15,,227889,5,ANC 5E,5E05,THIRD,306,Cluster 21,,,2026/04/03 08:30:23+00,{4E8BF186-A70E-6B09-E063-782F520A8A93},393103615
,2201 MINNESOTA AVENU WASHINGTION DC 20020 ,Adanech Gebremeskel,,,,,2201 MINNESOTA AVE SE ,WASHINGTON DC 20020,24 7 BEST CONVENIENCE Inc.,930826000014,Y,Grocery Store,24 7 BEST CONVENIENCE Inc.,,,,2028/03/31 04:00:00+00,2026/03/25 04:00:00+00,2026/03/25 04:00:00+00,Public Health Food Establish,4003,Active,,WASHINGTON,DC,20020,551005203,38.87131878,-76.97461337,402203.02,133721.77,,50557,8,ANC 8A,8A03,SIXTH,607,Cluster 34,,,2026/04/03 08:30:23+00,{4E8BF186-9565-6B09-E063-782F520A8A93},393099094
,2216 MARTIN LUTHER K WASHINGTON DC 20020 ,,BETELHEM,GESESSE,,,2216 MARTIN LUTHER KING J AVE SE ,WASHINGTON DC 20020,BETTESFA INCORPORATED,930815000022,Y,Grocery Store,BETTESFA INCORPORATED,,,,2027/06/30 04:00:00+00,2025/06/24 04:00:00+00,2025/06/01 04:00:00+00,Public Health Food Establish,4103,Active,2023522585,WASHINGTON,DC,20020,551039115,38.86425442,-76.98983826,400881.91,132937.28,,50310,8,ANC 8A,8A06,SEVENTH,701,Cluster 28,Anacostia BID,,2026/04/03 08:30:26+00,{4E8BF189-82AD-6B09-E063-782F520A8A93},393290910
,225 7th STREET S.E. WASHINGTON DC 20003 ,,MARIA M.,CANALES,,2025723133,225 7TH ST SE ,WASHINGTON DC 20003,CANALES INC.,39401936,Y,Grocery Store,CANALES INC.,,,,2027/08/31 04:00:00+00,2025/07/08 04:00:00+00,2025/09/01 04:00:00+00,Public Health Food Establish,9308,Active,2025476480,WASHINGTON,DC,20003,550967598,38.88641312,-76.99646843,400306.4,135397.02,,300829,6,ANC 6B,6B02,FIRST,107,Cluster 26,Capitol Hill BID,,2026/04/03 08:30:19+00,{4E8BF186-1689-6B09-E063-782F520A8A93},393066618
,225 7TH STREET S.E. WASHINGTON DC 20003 ,,SUSAN,MENDOZA,,2029999999,225 7TH ST SE ,WASHINGTON DC 20003,MARKET POULTRY LLC.,930818000004,Y,Grocery Store,MARKET POULTRY LLC.,,,,2027/10/31 04:00:00+00,2025/10/15 04:00:00+00,2025/11/01 04:00:00+00,Public Health Food Establish,9308,Active,7039818593,WASHINGTON,DC,20003,550999380,38.88641312,-76.99646843,400306.4,135397.02,,300829,6,ANC 6B,6B02,FIRST,107,Cluster 26,Capitol Hill BID,,2026/04/03 08:30:22+00,{4E8BF186-8339-6B09-E063-782F520A8A93},393094442
,2283 Savannah St SE Washington DC 20020 ,"ACE CORPORATE SERVICES, INC.",,,,,2283 SAVANNAH ST SE ,WASHINGTON DC 20020,Gmichael,930823000013,Y,Grocery Store,Gmichael,,,,2027/02/28 05:00:00+00,2025/02/10 05:00:00+00,2025/03/01 05:00:00+00,Public Health Food Establish,4003,Active,,WASHINGTON,DC,20020,551039026,38.84758575,-76.97132106,402489.55,131087.28,,302047,8,ANC 8E,8E01,SEVENTH,704,Cluster 38,,,2026/04/03 08:30:26+00,{4E8BF187-086C-6B09-E063-782F520A8A93},393128541
,2310 Rhode Island Av Washington DC 20018 ,Tesfaye Dumessa,,,,,2310 RHODE ISLAND AVE NE ,WASHINGTON DC 20018,Abaye,930825000004,Y,Grocery Store,Abaye,,,,2026/08/31 04:00:00+00,2024/10/23 04:00:00+00,2024/09/01 04:00:00+00,Public Health Food Establish,9308,Active,,WASHINGTON,DC,20018,550999393,38.9308423,-76.97311178,402331.38,140329.36,,48736,5,ANC 5B,5B06,FIFTH,503,Cluster 22,,,2026/04/03 08:30:22+00,{4E8BF186-8345-6B09-E063-782F520A8A93},393094454
,233 UPSHUR ST NW WASHINGTON DC 20011 ,ADDIS MELEKU,,,,,233 UPSHUR ST NW ,WASHINGTON DC 20011,Addis Feleke,930823000009,Y,Grocery Store,Addis Feleke,,,,2027/01/31 05:00:00+00,2025/03/14 04:00:00+00,2025/02/01 05:00:00+00,Public Health Food Establish,9305,Active,,WASHINGTON,DC,20011,551037166,38.94235485,-77.01522326,398680.26,141607.12,,244365,4,ANC 4C,4C06,FOURTH,407,Cluster 18,,,2026/04/03 08:30:26+00,{4E8BF187-02A2-6B09-E063-782F520A8A93},393127059
,2339 PENNSYLVANIA AV WASHINGTON DC 20020 ,ALEMTSEHAYE TESFAYE,,,,,2339 PENNSYLVANIA AVE SE ,WASHINGTON DC 20020,YODIT,930822000008,Y,Grocery Store,YODIT,,,,2027/12/31 05:00:00+00,2025/12/12 05:00:00+00,2025/12/12 05:00:00+00,Public Health Food Establish,9101,Active,,WASHINGTON,DC,20020,551005019,38.87364319,-76.97186915,402441.08,133979.83,,48335,7,ANC 7B,7B01,SIXTH,607,Cluster 34,,,2026/04/03 08:30:23+00,{4E8BF186-9622-6B09-E063-782F520A8A93},393099283
,2411 37th Street N.W Washington DC 20007 ,Mohammed Kemal,,,,,2411 37TH ST NW ,WASHINGTON DC 20007,SMART SHOP L.L.C.,930825000043,Y,Grocery Store,SMART SHOP L.L.C.,,,,2027/08/31 04:00:00+00,2025/08/20 04:00:00+00,2025/08/20 04:00:00+00,Public Health Food Establish,9308,Active,,WASHINGTON,DC,20007,551003295,38.92148206,-77.07288648,393679.45,139292.51,,284384,3,ANC 3B,3B02,SECOND,204,Cluster 14,,,2026/04/03 08:30:23+00,{4E8BF186-9063-6B09-E063-782F520A8A93},393097812
,"250 11th Street, N.E Washington DC 20002 ","ACE CORPORATE SERVICES, INC.",,,,,250 11TH ST NE ,WASHINGTON DC 20002,Root Retail,930824000004,Y,Grocery Store,Root Retail,,,,2027/11/30 05:00:00+00,2025/11/04 05:00:00+00,2025/12/01 05:00:00+00,Public Health Food Establish,4103,Active,,WASHINGTON,DC,20002,551039126,38.89344284,-76.99179591,400711.72,136177.4,,46670,6,ANC 6A,6A07,FIRST,108,Cluster 25,,,2026/04/03 08:30:26+00,{4E8BF187-09E7-6B09-E063-782F520A8A93},393128920
,2616 CONNECTICUT AVE WASHINGTON DC DC 20008 ,DISTRICT REGISTERED AGENT SERVICES INC.,,,,,2616 CONNECTICUT AVE NW ,WASHINGTON DC 20008,AMKO INTERNATIONAL 1,930825000013,Y,Grocery Store,AMKO INTERNATIONAL 1,,,,2026/12/31 05:00:00+00,2025/01/28 05:00:00+00,2025/01/01 05:00:00+00,Public Health Food Establish,9308,Active,,WASHINGTON,DC,20008,551011346,38.92413521,-77.05227614,395466.9,139585.77,,219092,3,ANC 3C,3C02,SECOND,204,Cluster 15,,,2026/04/03 08:30:23+00,{4E8BF186-AB34-6B09-E063-782F520A8A93},393104677
,2617 P ST NW WASHINGTON DC 20007 ,"INCORP SERVICES, INC.",,,,,2617 P ST NW ,"Washington, DC,  20007",PST GROCERY INC,930823000020,N,Grocery Store,PST GROCERY INC,,,,2027/03/31 04:00:00+00,2025/06/12 04:00:00+00,2025/04/01 04:00:00+00,Public Health Food Establish,9308,Active,,"WASHINGTON, D",,20007,551003282,38.90952751,-77.05533788,395200.42,137964.35,,275887,2,ANC 2E,2E06,SECOND,206,Cluster 4,,,2026/04/03 08:30:23+00,{4E8BF189-6895-6B09-E063-782F520A8A93},393284230
,2624 GEORGIA AVENUE  WASHINGTON DC 20010 ,AIDA A LEON,,,,,2624 GEORGIA AVE NW ,WASHINGTON DC 20001,LEON 1,930823000008,Y,Grocery Store,LEON 1,,,,2027/01/31 05:00:00+00,2025/02/06 05:00:00+00,2025/02/01 05:00:00+00,Public Health Food Establish,9101,Active,,WASHINGTON,DC,20001,551005020,38.92490038,-77.02294289,398010.54,139669.7,,232389,1,ANC 1E,1E06,THIRD,304,Cluster 2,,,2026/04/03 08:30:23+00,{4E8BF186-9623-6B09-E063-782F520A8A93},393099284
,2647 Connecticut Ave Washington DC 20008 ,SEYOUM  ABEBE,,,,,2647 CONNECTICUT AVE NW ,"Washington, DC,   20008","MANHATTAN MARKET,",930823000029,N,Grocery Store,"MANHATTAN MARKET,",,,,2027/04/30 04:00:00+00,2025/04/11 04:00:00+00,2025/05/01 04:00:00+00,Public Health Food Establish,4103,Active,,WASHINGTON,,20008,551006643,38.92488467,-77.05199842,395491.03,139668.99,,284449,3,ANC 3C,3C01,SECOND,204,Cluster 15,,,2026/04/03 08:30:23+00,{4E8BF186-9A2D-6B09-E063-782F520A8A93},393100318
,2701 14TH ST NW WASHINGTON DC 20009 ,Alelayehu Melka,,,,,2701 14TH ST ,WASHINGTON DC 20009,LALA,930825000028,Y,Grocery Store,LALA,,,,2027/04/30 04:00:00+00,2025/05/07 04:00:00+00,2025/05/01 04:00:00+00,Public Health Food Establish,4003,Active,,WASHINGTON,DC,20009,551005200,38.92502379,-77.03205305,397220.57,139683.6,,231633,1,ANC 1A,1A09,THIRD,304,Cluster 2,,,2026/04/03 08:30:23+00,{4E8BF186-9562-6B09-E063-782F520A8A93},393099091
,2701 14TH ST NW WASHINGTON DC 20009 ,,NEJAT,ALI,,,2701 14TH ST NW ,WASHINGTON DC 20009,UPTOWN MART LLC,930813000038,Y,Grocery Store,UPTOWN MART LLC,,,,2027/08/31 04:00:00+00,2025/08/11 04:00:00+00,2025/08/01 04:00:00+00,Public Health Food Establish,4003,Active,2404860337,WASHINGTON,DC,20009,551039023,38.92502379,-77.03205305,397220.57,139683.6,,231633,1,ANC 1A,1A09,THIRD,304,Cluster 2,,,2026/04/03 08:30:26+00,{4E8BF187-0869-6B09-E063-782F520A8A93},393128538
SUITE #A,2703 12th STREET N.E WASHINGTON DC 20018 ,"INCORP SERVICES, INC.",,,,702-866-2500,2703 12TH ST NE ,WASHINGTON DC 20018,SALUMERIA 2703 LLC.,930816000015,Y,Grocery Store,SALUMERIA 2703 LLC.,,,,2028/04/30 04:00:00+00,2026/02/06 05:00:00+00,2026/05/01 04:00:00+00,Public Health Food Establish,9305,Active,4154253583,WASHINGTON,DC,20018,550998036,38.92461963,-76.99015694,400853.53,139638.33,,45444,5,ANC 5B,5B03,FIFTH,504,Cluster 22,,,2026/04/03 08:30:22+00,{4E8BF186-7EB7-6B09-E063-782F520A8A93},393093288
,2723 7th STREET N.E. WASHINGTON DC 20017 ,RSL AGENTS INC.,,,,2026691132,2723 7TH ST NE ,WASHINGTON DC 20017,BT&G INC.,930815000023,Y,Grocery Store,BT&G INC.,,,,2028/01/31 05:00:00+00,2026/01/29 05:00:00+00,2026/01/29 05:00:00+00,Public Health Food Establish,4003,Active,2026363803,WASHINGTON,DC,20017,551004074,38.92541106,-76.99592575,400353.29,139726.11,,45060,5,ANC 5F,5F03,FIFTH,502,Cluster 21,,,2026/04/03 08:30:23+00,{4E8BF186-9262-6B09-E063-782F520A8A93},393098323
,2743 MARTIN LUTHER K WASHINGTON DC 20032 ,RASHEL HOSSAIN,,,,,2743 MARTIN LUTHER KING J AVE SE ,WASHINGTON DC 20032,WONDER MART CONVENIENCE,930822000012,Y,Grocery Store,WONDER MART CONVENIENCE,Rashel,Hossain,,2028/02/28 05:00:00+00,2026/01/14 05:00:00+00,2026/03/01 05:00:00+00,Public Health Food Establish,4003,Active,,WASHINGTON,DC,20032,551033147,38.84693331,-76.9964129,400311.39,131014.47,,44998,8,ANC 8C,8C01,SEVENTH,707,Cluster 39,Soul of the City BID,,2026/04/03 08:30:26+00,{4E8BF186-F441-6B09-E063-782F520A8A93},393123378
,2815 7th ST NE WASHINGTON DC 20017 ,KEFELA BERHANE,,,,,2815 7TH ST NE ,WASHINGTON DC 20017,BMT ENTERPRISE,930824000021,Y,Grocery Store,BMT ENTERPRISE,,,,2026/08/31 04:00:00+00,2024/09/04 04:00:00+00,2024/09/01 04:00:00+00,Public Health Food Establish,9306,Active,,WASHINGTON,DC,20017,550999362,38.92612334,-76.9958684,400358.26,139805.18,,44401,5,ANC 5F,5F02,FIFTH,502,Cluster 21,,,2026/04/03 08:30:22+00,{4E8BF186-81C9-6B09-E063-782F520A8A93},393094074
,2820 GEORGIA AVENUE  WASHINGTON DC 20001 ,,GEDION,KEBEDE,G,2022770333,2820 GEORGIA AVE NW ,WASHINGTON DC 20001,727 INC.,67006300,Y,Grocery Store,727 INC.,,,,2027/10/31 04:00:00+00,2025/08/15 04:00:00+00,2025/10/01 04:00:00+00,Public Health Food Establish,9308,Active,2022656881,WASHINGTON,DC,20001,550971676,38.92670856,-77.02314886,397992.73,139870.39,,232553,1,ANC 1E,1E05,THIRD,304,Cluster 2,,,2026/04/03 08:30:20+00,{4E8BF186-2471-6B09-E063-782F520A8A93},393070178
,2921 GEORGIA AVENUE  WASHINGTON DC 20001 ,Sajid Shah,,,,,2921 GEORGIA AVE NW ,WASHINGTON DC 20001,Anania Market,930823000016,Y,Grocery Store,Anania Market,,,,2027/02/28 05:00:00+00,2025/03/26 04:00:00+00,2025/03/01 05:00:00+00,Public Health Food Establish,9101,Active,,WASHINGTON,DC,20001,551036470,38.9280143,-77.02274749,398027.57,140015.33,,237922,1,ANC 1E,1E04,THIRD,306,Cluster 2,,,2026/04/03 08:30:26+00,{4E8BF187-00DD-6B09-E063-782F520A8A93},393126606
,2924 MINNESOTA AVENU WASHINGTON DC 20019 ,"ACE CORPORATE SERVICES, INC.",,,,,2924 MINNESOTA AVE SE ,WASHINGTON DC 20019,2924 Minnesota Ventures Inc.,930826000003,Y,Grocery Store,2924 Minnesota Ventures Inc.,,,,2027/10/31 04:00:00+00,2025/10/14 04:00:00+00,2025/10/14 04:00:00+00,Public Health Food Establish,9101,Active,,WASHINGTON,DC,20019,551036474,38.87636299,-76.96536591,403005.29,134281.98,,287329,7,ANC 7B,7B01,SIXTH,605,Cluster 34,,,2026/04/03 08:30:26+00,{4E8BF189-57FD-6B09-E063-782F520A8A93},393279982
,4039 Clay Place NE Washington DC 20019 ,Tuyatsetseg Metz,,,,,3008 Q ST NW ,WASHINGTON DC 20007,T&U,930823000012,Y,Grocery Store,T&U,,,,2027/01/31 05:00:00+00,2025/01/23 05:00:00+00,2025/02/01 05:00:00+00,Public Health Food Establish,9308,Active,,WASHINGTON,DC,20007,550967616,38.91035468,-77.0596779,394824.06,138056.41,,223842,2,ANC 2E,2E06,SECOND,206,Cluster 4,,,2026/04/03 08:30:19+00,{4E8BF186-1698-6B09-E063-782F520A8A93},393066633
,3011 MARTIN LUTHER K WASHINGTON DC 20032 ,ADANECH GEBREMESKEL,,,,,3011 MARTIN LUTHER KING J AVE SE ,WASHINGTON DC 20032,BAHRUESPRESSO,930823000015,Y,Grocery Store,BAHRUESPRESSO,,,,2028/03/31 04:00:00+00,2026/03/06 05:00:00+00,2026/03/06 05:00:00+00,Public Health Food Establish,9306,Active,,WASHINGTON,DC,20032,551037222,38.84444552,-76.99834089,400144.03,130738.34,,301041,8,ANC 8C,8C04,SEVENTH,707,Cluster 39,Soul of the City BID,,2026/04/03 08:30:26+00,{4E8BF187-022D-6B09-E063-782F520A8A93},393126942
,3021 GEORGIA AVENUE  WASHINGTON DC 20001 ,RIYAD MOHAMMED,,,,,3021 GEORGIA AVE NW ,WASHINGTON DC 20001,RKMM,930823000014,Y,Grocery Store,RKMM,,,,2027/02/28 05:00:00+00,2025/02/28 05:00:00+00,2025/03/01 05:00:00+00,Public Health Food Establish,4103,Active,,WASHINGTON,DC,20001,551039122,38.92882898,-77.02292985,398011.78,140105.77,,229488,1,ANC 1E,1E04,FOURTH,409,Cluster 2,,,2026/04/03 08:30:26+00,{4E8BF187-09E3-6B09-E063-782F520A8A93},393128916
,3146 MT PLEASANT ST  WASHINGTON DC 20010 ,"INCORP SERVICES, INC.",,,,,3146 MOUNT PLEASANT ST NW ,WASHINGTON DC 20010,MT Pleasant St,930825000012,Y,Grocery Store,MT Pleasant St,,,,2026/12/31 05:00:00+00,2025/01/16 05:00:00+00,2025/01/01 05:00:00+00,Public Health Food Establish,9308,Active,,WASHINGTON,DC,20010,551003288,38.93009472,-77.0381381,396693.15,140246.72,,236468,1,ANC 1D,1D04,THIRD,302,Cluster 2,,,2026/04/03 08:30:23+00,{4E8BF186-905F-6B09-E063-782F520A8A93},393097808
,3170 MOUNT PLEASANT  WASHINGTON DC 20010 ,,JEE,PARK,H,2023740388,3170 MOUNT PLEASANT ST NW ,WASHINGTON DC 20010,"MYUNGJOON, INC",67000158,Y,Grocery Store,"MYUNGJOON, INC",,,,2026/12/31 05:00:00+00,2025/01/15 05:00:00+00,2025/01/01 05:00:00+00,Public Health Food Establish,9308,Active,2023328440,WASHINGTON,DC,20010,550971675,38.93054356,-77.03828746,396680.22,140296.55,,236464,1,ANC 1D,1D04,THIRD,302,Cluster 2,,,2026/04/03 08:30:20+00,{4E8BF189-8F5F-6B09-E063-782F520A8A93},393294160
,250 E STREET S.W. WASHINGTON DC 20024 ,ANDREW REESE DEPUTY DIR DDS/RSA,,,,2024428411,320 21ST ST NW ,WASHINGTON DC 20451,DDS/RSA RANDOLP-SHEPPARD VENDING FACILITIES PROGRAM (RSVFP),930813000021,Y,Grocery Store,DDS/RSA RANDOLP-SHEPPARD VENDING FACILITIES PROGRAM (RSVFP),,,,2027/01/31 05:00:00+00,2025/06/12 04:00:00+00,2025/02/01 05:00:00+00,Public Health Food Establish,4103,Active,2024428469,WASHINGTON,DC,20451,551032859,38.89480937,-77.04737789,395889.96,136330.13,,302265,2,ANC 2A,2A01,SECOND,207,Cluster 45,,,2026/04/03 08:30:25+00,{4E8BF186-F4A6-6B09-E063-782F520A8A93},393123479
,"321 T Street, N.E. Washington DC 20002 ",PROFESSIONAL CORPORATION SERVICE INC.,,,,,321 T ST NE ,WASHINGTON DC 20002,BETU,930824000008,Y,Grocery Store,BETU,,,,2028/01/31 05:00:00+00,2025/12/23 05:00:00+00,2025/02/01 05:00:00+00,Public Health Food Establish,9308,Active,,WASHINGTON,DC,20002,550999391,38.91530216,-77.00099498,399913.71,138603.93,,38666,5,ANC 5F,5F05,FIFTH,502,Cluster 21,,,2026/04/03 08:30:22+00,{4E8BF186-8344-6B09-E063-782F520A8A93},393094453
,328 Kentucky Ave SE Washington DC 20003 ,AIDA LEON,,,,,328 KENTUCKY AVE SE ,WASHINGTON DC 20003,TISYOOO 1,930826000007,Y,Grocery Store,TISYOOO 1,,,,2029/11/30 05:00:00+00,2025/11/18 05:00:00+00,2025/11/18 05:00:00+00,Public Health Food Establish,9101,Active,,WASHINGTON,DC,20003,551005031,38.88469065,-76.98570926,401239.9,135205.94,,37409,6,ANC 6B,6B07,FIRST,107,Cluster 26,,,2026/04/03 08:30:23+00,{4E8BF186-962D-6B09-E063-782F520A8A93},393099294
